fos,income,age,english_score,prev_gpa,sem1_gpa,sem2_gpa,sem3_gpa,sem4_gpa,sem1_pred,sem2_pred,sem3_pred,sem4_pred
Computer Science,Lower middle income,U30,6.6,3.09,3.75,4.0,4.0,0.0,3.54,3.71,3.9,0.0
Agricultural Systems & Engineering,Upper middle income,u37,5.6,3.19,4.0,4.0,0.0,0.0,3.56,3.82,0.0,0.0
Structural Engineering,Upper middle income,U30,5,3.4,4.0,3.88,0.0,0.0,3.44,3.79,0.0,0.0
Environmental Engineering and Management,Lower middle income,U30,5.5,4.0,3.88,3.71,4.0,0.0,3.26,3.76,3.83,0.0
Agricultural Systems & Engineering,Upper middle income,u37,4.5,2.89,2.9,2.75,0.0,0.0,3.16,3.1,0.0,0.0
Transportation Engineering,Upper middle income,U30,5,3.19,3.5,3.13,4.0,0.0,3.48,3.55,3.53,0.0
Food Engineering and Bioprocess Technology,Lower middle income,u37,6,2.9,3.63,3.88,0.0,0.0,3.56,3.6,0.0,0.0
Management of Technology,Upper middle income,U30,5.2,2.86,3.71,3.6,3.75,0.0,3.55,3.69,3.7,0.0
International Business,Upper middle income,u37,4.4,3.67,3.36,3.21,3.5,0.0,3.53,3.54,3.52,0.0
International Business,Upper middle income,U30,5.3,3.2,3.5,3.69,0.0,0.0,3.48,3.59,0.0,0.0
Geotechnical and Geoenvironmental Engineering,Upper middle income,U30,5.8,3.61,3.35,3.77,0.0,0.0,3.46,3.51,0.0,0.0
Natural Resources Management,Lower middle income,U30,5,3.0,3.42,3.27,0.0,0.0,3.48,3.51,0.0,0.0
Natural Resources Management,Lower middle income,u37,5.4,4.0,3.65,3.77,0.0,0.0,3.51,3.68,0.0,0.0
Natural Resources Management,Low income,u37,6,3.5,3.88,3.86,0.0,0.0,3.56,3.81,0.0,0.0
Natural Resources Management,Low income,u37,6,3.5,4.0,4.0,0.0,0.0,3.66,3.84,0.0,0.0
Urban Environmental Management,Lower middle income,U30,4.6,3.5,3.0,2.89,0.0,0.0,3.18,3.13,0.0,0.0
Urban Environmental Management,Lower middle income,u37,5.5,3.0,3.11,3.39,0.0,0.0,3.16,3.3,0.0,0.0
Regional and Rural Development Planning,Lower middle income,u37,4,3.0,3.0,3.42,3.5,0.0,3.41,3.19,3.44,0.0
Remote Sensing and Geographic Information Systems,Low income,u37,5.8,3.0,3.25,3.75,0.0,0.0,3.33,3.48,0.0,0.0
Environmental Engineering and Management,Upper middle income,U30,5.3,2.87,3.88,4.0,0.0,0.0,3.63,3.79,0.0,0.0
International Business,Upper middle income,U30,4.6,3.11,3.36,3.77,0.0,0.0,3.21,3.47,0.0,0.0
Natural Resources Management,Lower middle income,u37,5.5,3.0,3.42,3.73,0.0,0.0,3.51,3.55,0.0,0.0
Remote Sensing and Geographic Information Systems,Upper middle income,U30,5.4,3.44,3.67,3.7,0.0,0.0,3.55,3.68,0.0,0.0
Structural Engineering,Upper middle income,U25,4.8,3.06,4.0,3.88,0.0,0.0,3.44,3.76,0.0,0.0
ConstructionEngineering and Infrastructure Management,Lower middle income,U30,5.5,2.84,3.5,3.88,0.0,0.0,3.5,3.58,0.0,0.0
International Business,Lower middle income,U44,5.5,3.0,2.79,2.86,3.63,0.0,3.17,3.14,3.3,0.0
Management of Technology,Upper middle income,U30,4.6,3.19,3.71,3.63,3.5,0.0,3.69,3.68,3.78,0.0
Gender and Development Studies,Lower middle income,U44,6.2,3.0,3.83,3.86,0.0,0.0,3.66,3.74,0.0,0.0
International Business,Upper middle income,U30,5.2,3.44,3.71,3.83,4.0,0.0,3.49,3.68,3.7,0.0
International Business,Lower middle income,U30,7.5,4.0,3.64,3.71,0.0,0.0,3.59,3.61,0.0,0.0
Environmental Engineering and Management,Lower middle income,u37,2.8,4.0,3.5,3.0,3.5,0.0,3.22,3.44,3.44,0.0
Information Management,Low income,U30,6.2,3.5,3.13,3.38,4.0,0.0,3.44,3.43,3.64,0.0
Structural Engineering,Lower middle income,U30,5.3,3.75,4.0,4.0,0.0,0.0,3.44,3.86,0.0,0.0
Transportation Engineering,Lower middle income,U30,6,3.82,3.5,3.5,0.0,0.0,3.22,3.57,0.0,0.0
Energy,Lower middle income,u37,5.6,3.0,3.31,3.29,3.4,0.0,3.41,3.51,3.45,0.0
Mechatronics,Lower middle income,U25,5.8,4.0,3.5,3.25,3.17,0.0,3.17,3.53,3.59,0.0
Computer Science,Upper middle income,U30,5.1,3.25,3.13,3.63,4.0,0.0,3.28,3.38,3.62,0.0
Remote Sensing and Geographic Information Systems,Upper middle income,U30,5,2.36,3.63,3.88,0.0,0.0,3.23,3.59,0.0,0.0
Industrial Engineering & Management,Upper middle income,U30,5.5,2.15,3.88,3.63,3.0,0.0,3.52,3.76,3.81,0.0
Telecommunications,Upper middle income,U30,4.8,2.98,2.38,3.13,3.0,3.25,3.16,3.13,3.31,3.2
Computer Science,Upper middle income,U25,5.6,3.75,3.9,3.67,4.0,0.0,3.69,3.81,4.01,0.0
Mechatronics,Lower middle income,U30,6.2,3.5,2.88,3.33,3.75,0.0,3.25,3.13,3.37,0.0
International Business,Lower middle income,U30,6.5,3.0,3.14,3.19,0.0,0.0,3.48,3.16,0.0,0.0
Energy,Upper middle income,U30,4,2.9,3.71,3.65,3.29,0.0,3.36,3.69,3.59,0.0
Management of Technology,Upper middle income,G45,5.6,2.67,3.57,3.86,3.33,0.0,3.57,3.64,3.57,0.0
International Business,Upper middle income,U30,5.8,3.68,3.86,3.86,0.0,0.0,3.6,3.71,0.0,0.0
Regional and Rural Development Planning,Lower middle income,u37,6,4.0,3.63,3.88,3.75,0.0,3.2,3.62,3.74,0.0
Computer Science,Upper middle income,U30,5.7,3.74,3.5,4.0,4.0,0.0,3.42,3.59,3.83,0.0
Food Engineering and Bioprocess Technology,Low income,U30,6,3.5,3.38,3.5,0.0,0.0,3.54,3.54,0.0,0.0
Food Engineering and Bioprocess Technology,Upper middle income,u37,5.4,3.03,3.75,3.88,0.0,0.0,3.51,3.71,0.0,0.0
Natural Resources Management,Low income,u37,6,3.5,4.0,3.91,0.0,0.0,3.58,3.87,0.0,0.0
Geotechnical and Geoenvironmental Engineering,Low income,U30,,3.5,3.85,3.73,4.0,0.0,3.64,3.81,3.73,0.0
Geotechnical and Geoenvironmental Engineering,Lower middle income,u37,,3.5,3.12,3.12,0.0,0.0,3.25,3.3,0.0,0.0
Structural Engineering,Lower middle income,U30,,4.0,3.5,3.5,3.67,3.5,3.17,3.5,3.48,3.55
Mechatronics,Lower middle income,u37,5.8,3.04,3.25,3.5,4.0,0.0,3.22,3.28,3.5,0.0
Computer Science,Lower middle income,U30,5.6,2.99,3.38,3.63,4.0,0.0,3.41,3.55,3.73,0.0
Aquaculture and Aquatic Resources Management,Lower middle income,U44,2.5,3.5,3.73,3.88,4.0,0.0,3.5,3.73,3.94,0.0
ConstructionEngineering and Infrastructure Management,Upper middle income,U30,4.9,3.6,3.63,3.5,0.0,0.0,3.45,3.6,0.0,0.0
International Business,Upper middle income,U30,4.5,2.88,3.21,3.14,3.83,0.0,3.48,3.23,3.45,0.0
Water Engineering and Management,Upper middle income,u37,4.8,2.76,3.15,3.75,4.0,4.0,3.18,3.39,3.63,3.83
Agricultural Systems & Engineering,Lower middle income,u37,5.6,2.57,3.6,3.73,0.0,0.0,3.53,3.63,0.0,0.0
Mechatronics,Lower middle income,U30,6.5,4.0,2.63,3.0,4.0,0.0,3.17,3.13,3.32,0.0
Computer Science,Lower middle income,U30,5.6,3.14,3.25,3.63,4.0,0.0,3.37,3.49,3.67,0.0
Computer Science,Lower middle income,U30,5.8,3.06,3.63,3.5,4.0,0.0,3.26,3.64,3.7,0.0
Geotechnical and Geoenvironmental Engineering,Lower middle income,U30,5.3,2.39,3.38,3.33,3.5,0.0,3.49,3.53,3.47,0.0
ConstructionEngineering and Infrastructure Management,Upper middle income,U30,4.4,2.76,3.0,3.13,0.0,0.0,3.27,3.13,0.0,0.0
Geotechnical and Geoenvironmental Engineering,Upper middle income,u37,5.3,3.61,3.65,3.12,0.0,0.0,3.17,3.66,0.0,0.0
Management of Technology,Low income,u37,7,3.5,3.93,3.56,0.0,0.0,3.67,3.87,0.0,0.0
International Business,Lower middle income,U30,5.2,3.26,2.71,3.0,3.33,0.0,3.17,3.13,3.33,0.0
International Business,Lower middle income,u37,6,3.5,3.21,3.57,3.67,0.0,3.62,3.35,3.45,0.0
Remote Sensing and Geographic Information Systems,Lower middle income,U44,6.5,4.0,3.88,3.88,0.0,0.0,3.7,3.78,0.0,0.0
ConstructionEngineering and Infrastructure Management,Upper middle income,U30,4.9,3.57,3.63,3.63,0.0,0.0,3.44,3.6,0.0,0.0
Mechatronics,Lower middle income,u37,5,3.1,3.75,3.63,4.0,0.0,3.18,3.61,3.68,0.0
Remote Sensing and Geographic Information Systems,Low income,U30,6.5,4.0,4.0,4.0,4.0,0.0,3.48,3.9,4.12,0.0
Aquaculture and Aquatic Resources Management,Lower middle income,U30,4.9,3.07,3.45,4.0,4.0,0.0,3.49,3.55,3.77,0.0
Aquaculture and Aquatic Resources Management,Lower middle income,u37,5.5,4.0,3.59,3.65,0.0,0.0,3.41,3.64,0.0,0.0
Aquaculture and Aquatic Resources Management,Upper middle income,U30,5,2.52,3.09,3.27,0.0,0.0,3.33,3.28,0.0,0.0
Geotechnical and Geoenvironmental Engineering,High income,u37,5,2.67,3.6,3.19,3.5,0.0,3.56,3.56,3.55,0.0
Environmental Engineering and Management,Lower middle income,U30,5.5,2.75,3.25,3.61,0.0,0.0,3.48,3.51,0.0,0.0
Design and Manufacturing Engineering,Upper middle income,U25,5.6,2.52,3.25,3.83,3.25,0.0,3.53,3.42,3.62,0.0
Pulp and Paper Technology,Lower middle income,U30,6,3.06,3.17,3.21,0.0,0.0,3.58,3.18,0.0,0.0
Environmental Engineering and Management,Lower middle income,U30,5.6,3.71,3.5,3.61,3.75,0.0,3.39,3.58,3.55,0.0
Microelectronics,Lower middle income,U30,5.9,3.2,3.38,3.38,4.0,0.0,3.16,3.44,3.53,0.0
Structural Engineering,Lower middle income,U25,5.3,3.44,3.75,3.63,0.0,0.0,3.57,3.71,0.0,0.0
Structural Engineering,Upper middle income,U30,5.4,4.0,3.5,3.88,0.0,0.0,3.2,3.6,0.0,0.0
ConstructionEngineering and Infrastructure Management,Low income,U30,7.5,3.5,3.5,3.5,0.0,0.0,3.57,3.65,0.0,0.0
Service Marketing and Technology,Lower middle income,U30,5.8,3.4,3.5,3.5,0.0,0.0,3.55,3.53,0.0,0.0
Urban Environmental Management,Lower middle income,U30,4.9,3.5,3.07,3.39,0.0,0.0,3.49,3.16,0.0,0.0
International Business,Lower middle income,u37,5.4,2.0,3.0,2.93,3.5,0.0,3.51,3.15,3.35,0.0
Management of Technology,Upper middle income,U44,4.9,3.7,3.43,3.29,3.33,0.0,3.48,3.53,3.65,0.0
International Business,Lower middle income,U30,5.5,4.0,3.64,3.8,0.0,0.0,3.43,3.59,0.0,0.0
Environmental Engineering and Management,Lower middle income,u37,4.8,3.0,3.2,3.13,0.0,0.0,3.49,3.29,0.0,0.0
Agricultural Systems & Engineering,Lower middle income,U30,5.3,3.21,3.1,3.38,0.0,0.0,3.56,3.28,0.0,0.0
Management of Technology,Upper middle income,U30,5.4,3.06,3.0,3.14,3.5,0.0,3.24,3.18,3.4,0.0
ConstructionEngineering and Infrastructure Management,Upper middle income,U25,4.5,3.39,3.0,3.38,0.0,0.0,3.39,3.26,0.0,0.0
Computer Science,Upper middle income,U30,5.9,2.68,3.25,3.13,4.0,0.0,3.44,3.49,3.54,0.0
Regional and Rural Development Planning,Lower middle income,U30,5.8,4.0,3.5,3.62,3.5,0.0,3.16,3.55,3.64,0.0
Transportation Engineering,Low income,U30,5.7,4.0,3.75,4.0,0.0,0.0,3.65,3.76,0.0,0.0
Management of Technology,Lower middle income,U30,6.5,2.65,3.86,3.79,0.0,0.0,3.57,3.75,0.0,0.0
Pulp and Paper Technology,Upper middle income,U30,5.1,3.5,3.83,3.71,0.0,0.0,3.45,3.65,0.0,0.0
Environmental Engineering and Management,Upper middle income,U30,5,2.76,3.25,3.0,3.0,0.0,3.26,3.37,3.46,0.0
Geotechnical and Geoenvironmental Engineering,Lower middle income,u37,5.3,3.0,3.0,3.38,3.5,0.0,3.23,3.22,3.46,0.0
Transportation Engineering,Lower middle income,u37,,3.98,3.75,4.0,0.0,0.0,3.16,3.7,0.0,0.0
Energy,Low income,u37,6,3.5,4.0,3.88,4.0,0.0,3.62,3.89,3.82,0.0
Water Engineering and Management,Upper middle income,u37,5.5,3.39,3.73,3.75,4.0,0.0,3.43,3.71,3.79,0.0
Telecommunications,Upper middle income,U30,4.9,3.44,4.0,4.0,4.0,4.0,3.33,3.8,3.91,4.08
ConstructionEngineering and Infrastructure Management,Lower middle income,U25,6,4.0,3.88,3.5,0.0,0.0,3.42,3.76,0.0,0.0
Water Engineering and Management,Lower middle income,U30,5.8,4.0,2.81,3.25,4.0,0.0,3.48,3.13,3.45,0.0
Management of Technology,Upper middle income,U30,6.2,3.0,3.64,3.43,0.0,0.0,3.62,3.64,0.0,0.0
Structural Engineering,Lower middle income,U30,6,4.0,3.5,3.63,0.0,0.0,3.18,3.58,0.0,0.0
Industrial Engineering & Management,Upper middle income,U30,5.2,3.05,3.25,3.13,3.0,0.0,3.44,3.5,3.51,0.0
Environmental Engineering and Management,Lower middle income,U30,5.4,3.0,3.75,3.6,4.0,0.0,3.55,3.71,3.8,0.0
Aquaculture and Aquatic Resources Management,Lower middle income,u37,4.9,3.57,2.92,3.13,0.0,0.0,3.21,3.14,0.0,0.0
Structural Engineering,Lower middle income,U30,,3.94,2.88,3.5,0.0,0.0,3.19,3.14,0.0,0.0
Management of Technology,Upper middle income,U30,5,2.95,3.64,3.5,3.17,0.0,3.56,3.61,3.69,0.0
Food Engineering and Bioprocess Technology,Lower middle income,u37,,3.0,3.5,3.25,0.0,0.0,3.39,3.58,0.0,0.0
ConstructionEngineering and Infrastructure Management,Upper middle income,U30,4.8,3.45,3.25,3.38,0.0,0.0,3.18,3.3,0.0,0.0
Industrial Engineering & Management,Lower middle income,U30,,3.0,3.13,3.13,3.0,0.0,3.54,3.16,3.4,0.0
Mechatronics,Lower middle income,U30,,3.0,3.86,3.43,3.0,0.0,3.53,3.69,3.69,0.0
Mechatronics,Lower middle income,U30,,3.0,3.23,3.31,3.5,0.0,3.42,3.17,3.47,0.0
Mechatronics,Lower middle income,U30,,3.0,3.86,3.36,3.5,0.0,3.5,3.74,3.69,0.0
Industrial Engineering & Management,Lower middle income,U30,5,3.0,3.63,3.25,3.0,0.0,3.32,3.59,3.6,0.0
Food Engineering and Bioprocess Technology,Lower middle income,u37,6.1,3.0,4.0,4.0,0.0,0.0,3.18,3.81,0.0,0.0
Design and Manufacturing Engineering,Lower middle income,u37,,3.5,3.25,3.86,4.0,0.0,3.25,3.42,3.57,0.0
International Business,Upper middle income,U30,5.4,3.55,3.71,3.67,0.0,0.0,3.58,3.69,0.0,0.0
Food Engineering and Bioprocess Technology,Upper middle income,u37,4.5,2.86,2.75,3.0,0.0,0.0,3.19,3.13,0.0,0.0
Food Engineering and Bioprocess Technology,Upper middle income,U30,4.9,2.64,3.0,3.25,0.0,0.0,3.47,3.25,0.0,0.0
Service Marketing and Technology,Lower middle income,U30,,3.12,3.71,3.79,0.0,0.0,3.58,3.63,0.0,0.0
Computer Science,Upper middle income,U25,5.7,3.03,3.0,3.25,3.5,0.0,3.33,3.22,3.54,0.0
Remote Sensing and Geographic Information Systems,Upper middle income,u37,5.4,2.5,3.25,3.5,0.0,0.0,3.26,3.51,0.0,0.0
Geotechnical and Geoenvironmental Engineering,Lower middle income,U30,5.4,3.41,4.0,3.77,4.0,0.0,3.53,3.85,3.79,0.0
Information Management,Lower middle income,U30,5.5,3.0,2.75,3.3,3.5,3.5,3.25,3.13,3.43,3.47
International Business,Upper middle income,u37,5.4,3.8,3.36,3.21,3.0,0.0,3.16,3.51,3.51,0.0
International Business,Upper middle income,U30,5.7,3.5,3.64,3.29,3.5,0.0,3.38,3.58,3.62,0.0
International Business,Lower middle income,U30,5.4,3.22,3.0,3.27,0.0,0.0,3.2,3.13,0.0,0.0
Transportation Engineering,Upper middle income,U25,5,3.12,3.25,3.25,0.0,0.0,3.51,3.36,0.0,0.0
Water Engineering and Management,Lower middle income,U30,,2.81,3.5,3.63,4.0,0.0,3.5,3.58,3.6,0.0
Information Management,Upper middle income,U30,4.6,2.74,2.88,3.12,3.5,0.0,3.17,3.13,3.4,0.0
Telecommunications,Upper middle income,U30,5.5,2.91,3.38,3.5,4.0,4.0,3.2,3.55,3.62,3.69
Structural Engineering,Upper middle income,U30,5,3.32,3.63,3.38,0.0,0.0,3.43,3.59,0.0,0.0
Information Management,Lower middle income,u37,,2.5,3.0,3.63,3.5,0.0,3.16,3.14,3.51,0.0
Remote Sensing and Geographic Information Systems,Lower middle income,U44,,4.0,3.75,4.0,0.0,0.0,3.57,3.76,0.0,0.0
Pulp and Paper Technology,Upper middle income,U30,4.7,3.8,3.21,3.4,0.0,0.0,3.19,3.33,0.0,0.0
Telecommunications,Lower middle income,u37,,3.5,3.13,3.5,3.5,3.0,3.16,3.22,3.56,3.2
Telecommunications,Lower middle income,u37,5.3,3.5,3.75,3.75,3.5,0.0,3.16,3.74,3.76,0.0
Telecommunications,Lower middle income,u37,,2.5,3.13,3.38,3.5,3.17,3.16,3.24,3.5,3.2
Telecommunications,Lower middle income,u37,,2.5,3.25,3.63,3.5,0.0,3.16,3.45,3.51,0.0
Telecommunications,Lower middle income,u37,,2.5,2.75,2.75,3.0,3.0,3.16,3.13,3.33,3.2
Information Management,Lower middle income,U30,,3.0,3.13,3.38,3.5,0.0,3.59,3.31,3.5,0.0
Information Management,Lower middle income,u37,,3.0,2.88,3.5,3.75,0.0,3.16,3.13,3.53,0.0
Information Management,Lower middle income,U30,,3.0,3.13,3.25,3.5,0.0,3.16,3.23,3.51,0.0
Computer Science,Lower middle income,U30,5,3.5,3.25,3.38,4.0,0.0,3.28,3.5,3.59,0.0
Management of Technology,Upper middle income,U30,5.8,2.96,3.5,3.5,0.0,0.0,3.67,3.57,0.0,0.0
Structural Engineering,Upper middle income,U30,4.9,3.27,3.88,3.25,0.0,0.0,3.32,3.72,0.0,0.0
Agricultural Systems & Engineering,Low income,u37,6,3.5,3.5,3.5,0.0,0.0,3.4,3.61,0.0,0.0
International Public Management,Lower middle income,U30,,3.59,3.5,3.71,0.0,0.0,3.53,3.56,0.0,0.0
Microelectronics,Upper middle income,U30,,2.9,3.13,3.5,4.0,0.0,3.5,3.14,3.5,0.0
Energy,Upper middle income,U30,4.8,2.96,3.5,3.75,3.88,0.0,3.5,3.55,3.53,0.0
Structural Engineering,Lower middle income,U30,,2.75,3.0,3.5,0.0,0.0,3.42,3.16,0.0,0.0
Water Engineering and Management,Low income,U30,5.7,3.5,3.54,4.0,4.0,0.0,3.64,3.64,3.66,0.0
Telecommunications,Lower middle income,U30,6.3,2.98,3.5,3.38,4.0,4.0,3.62,3.6,3.61,3.72
Management of Technology,Upper middle income,U30,4.9,3.25,3.21,3.43,3.5,0.0,3.42,3.47,3.6,0.0
Urban Environmental Management,Lower middle income,U44,,3.5,3.43,3.57,0.0,0.0,3.16,3.57,0.0,0.0
ConstructionEngineering and Infrastructure Management,Lower middle income,u37,,4.0,3.38,3.63,0.0,0.0,3.17,3.54,0.0,0.0
International Public Management,Lower middle income,U25,4.5,3.0,2.86,3.21,0.0,0.0,3.29,3.13,0.0,0.0
Aquaculture and Aquatic Resources Management,Upper middle income,U30,4.7,3.17,3.0,3.23,0.0,0.0,3.45,3.21,0.0,0.0
Agricultural Systems & Engineering,Lower middle income,U30,5.2,4.0,3.63,4.0,3.79,0.0,3.51,3.71,3.68,0.0
ConstructionEngineering and Infrastructure Management,Upper middle income,U30,5,3.58,3.5,3.38,0.0,0.0,3.19,3.53,0.0,0.0
Aquaculture and Aquatic Resources Management,Lower middle income,u37,,2.74,3.89,3.5,3.63,3.5,3.25,3.77,3.72,3.54
Geotechnical and Geoenvironmental Engineering,Lower middle income,u37,,3.93,3.85,3.88,0.0,0.0,3.16,3.75,0.0,0.0
Urban Environmental Management,Lower middle income,u37,6,3.5,3.57,3.64,0.0,0.0,3.31,3.59,0.0,0.0
Transportation Engineering,Lower middle income,U30,,3.02,3.13,3.25,0.0,0.0,3.39,3.23,0.0,0.0
Geotechnical and Geoenvironmental Engineering,Lower middle income,u37,,4.0,3.88,3.5,0.0,0.0,3.16,3.77,0.0,0.0
Mechatronics,Upper middle income,U30,4.2,3.06,3.38,3.38,4.0,0.0,3.5,3.52,3.56,0.0
Regional and Rural Development Planning,High income,u37,,2.85,4.0,4.0,4.0,0.0,3.89,3.75,3.75,0.0
Computer Science,Lower middle income,U30,,2.5,3.38,3.25,4.0,0.0,3.22,3.53,3.63,0.0
Environmental Engineering and Management,Upper middle income,U30,4.5,3.2,2.88,3.13,4.0,0.0,3.22,3.12,3.43,0.0
Energy,Low income,U30,6,3.5,3.65,3.79,4.0,0.0,3.68,3.7,3.68,0.0
International Business - Management of Technology (BKK),Lower middle income,U30,,3.0,3.3,3.5,3.7,3.2,3.44,3.26,3.44,3.52
International Business - Management of Technology (BKK),Upper middle income,U44,,2.43,3.6,3.5,3.7,3.3,3.47,3.64,3.62,3.52
International Business - Management of Technology (BKK),Upper middle income,U30,,3.18,3.9,3.92,3.8,3.9,3.67,3.77,3.74,3.74
Microelectronics,Upper middle income,U25,4.5,3.29,3.67,3.5,3.38,4.0,3.65,3.66,3.62,3.55
International Business - Management of Technology (BKK),Upper middle income,G45,,2.97,3.5,3.58,3.7,3.3,3.22,3.56,3.54,3.48
Human Resources Management,Lower middle income,u37,,2.5,3.8,3.64,3.71,0.0,3.52,3.7,3.62,0.0
Human Resources Management,Lower middle income,U30,,3.5,3.6,3.36,3.57,0.0,3.53,3.58,3.53,0.0
Human Resources Management,Lower middle income,U30,,3.0,3.8,3.71,4.0,0.0,3.57,3.68,3.67,0.0
Pulp and Paper Technology,Upper middle income,U30,5,3.0,3.7,3.63,4.0,0.0,3.21,3.58,3.72,0.0
ConstructionEngineering and Infrastructure Management,Lower middle income,U30,5.4,3.39,3.13,3.25,0.0,0.0,3.49,3.24,0.0,0.0
Energy,Lower middle income,U30,5,3.24,3.63,3.5,3.71,0.0,3.49,3.6,3.58,0.0
Regional and Rural Development Planning,Low income,u37,,3.5,3.4,3.5,3.75,0.0,3.57,3.57,3.66,0.0
Human Resources Management,Lower middle income,U30,,3.0,3.5,3.43,3.5,0.0,3.57,3.55,3.46,0.0
Human Resources Management,Lower middle income,U30,,3.0,3.8,3.5,3.71,0.0,3.48,3.68,3.54,0.0
Human Resources Management,Lower middle income,u37,,3.26,3.2,3.36,3.36,0.0,3.55,3.32,3.44,0.0
Human Resources Management,Lower middle income,u37,,3.06,3.4,3.21,3.21,0.0,3.47,3.48,3.46,0.0
Remote Sensing and Geographic Information Systems,Lower middle income,U30,6,4.0,3.63,3.63,0.0,0.0,3.52,3.64,0.0,0.0
Urban Environmental Management,Lower middle income,u37,5.6,4.0,3.43,3.68,0.0,0.0,3.46,3.56,0.0,0.0
International Public Management,Lower middle income,U30,5.8,3.5,3.71,3.79,0.0,0.0,3.55,3.62,0.0,0.0
International Business,Lower middle income,U30,6.9,3.0,3.71,3.8,0.0,0.0,3.62,3.64,0.0,0.0
International Business,Lower middle income,u37,,4.0,3.36,3.1,0.0,0.0,3.25,3.43,0.0,0.0
ConstructionEngineering and Infrastructure Management,Lower middle income,u37,6.5,3.0,3.13,3.5,0.0,0.0,3.19,3.25,0.0,0.0
Urban Environmental Management,Lower middle income,U30,5,3.5,3.89,3.89,0.0,0.0,3.49,3.71,0.0,0.0
Geotechnical and Geoenvironmental Engineering,Lower middle income,U30,5.4,3.0,3.25,3.38,3.5,0.0,3.3,3.34,3.47,0.0
International Public Management,Lower middle income,U30,5.3,4.0,3.5,3.5,0.0,0.0,3.32,3.56,0.0,0.0
International Public Management,Lower middle income,U30,5.6,3.0,3.38,3.33,0.0,0.0,3.32,3.54,0.0,0.0
ConstructionEngineering and Infrastructure Management,Upper middle income,U25,5,3.53,3.25,3.5,0.0,0.0,3.55,3.38,0.0,0.0
Water Engineering and Management,Lower middle income,U30,,3.52,2.88,3.5,4.0,0.0,3.16,3.14,3.47,0.0
